delay 1.0,1554666849.81265,1554666850.53356,1554666850.53398,1554666851.01376,1554666853.82581,0.720910787582397,3.2922568321228,,min,mean,max
delay 1.0,1554666851.53485,1554666851.56678,1554666852.59381,1554666852.62551,1554666853.826,0.03193473815918,2.25921440124512,,0.143602132797241,1.70727368354797,3.62465524673462
delay 1.0,1554666852.56806,1554666852.60828,1554666853.05726,1554666853.08906,1554666853.82606,0.040213346481323,1.21778035163879,,0.024983406066895,1.53517046928406,3.25460505485535
delay 1.0,1554666853.60954,1554666853.64139,1554666854.96525,1554666854.99708,1554666855.00681,0.031847953796387,1.36541867256165,,0.095087051391602,1.5069034576416,3.45236158370972
delay 1.0,1554666854.64265,1554666854.67443,1554666854.99721,1554666855.02902,1554666855.03835,0.031786918640137,0.363913297653198,,0.084956884384155,1.33364731788635,3.2552502155304
delay 1.0,1554666855.67569,1554666855.70733,1554666856.05743,1554666856.08917,1554666856.82596,0.031647205352783,1.11862587928772,,0.025083780288696,0.492338185310364,2.0130443572998
delay 1.0,1554666856.7086,1554666856.74037,1554666859.05735,1554666859.08909,1554666859.82605,0.031765699386597,3.08568000793457,,0.041059494018555,0.042305178642273,0.052809000015259
delay 1.0,1554666857.74161,1554666857.77336,1554666859.08922,1554666859.12167,1554666859.82631,0.031744718551636,2.05294871330261,,0.024816989898682,0.373428087234497,1.52094984054565
delay 1.0,1554666858.77461,1554666858.80634,1554666859.12182,1554666859.15363,1554666859.82642,0.031732797622681,1.0200777053833,,0.023720741271973,0.056947808265686,0.277587652206421
delay 1.0,1554666859.80752,1554666859.83914,1554666859.96488,1554666859.99646,1554666860.74432,0.031626462936401,0.905177593231201,,0.024547100067139,0.045741558074951,0.19599461555481
delay 1.0,1554666860.84045,1554666860.87226,1554666862.05739,1554666862.08907,1554666862.09868,0.031806468963623,1.22641849517822,,,,
delay 1.0,1554666861.87351,1554666861.90518,1554666862.08923,1554666862.12096,1554666862.13011,0.031673908233643,0.224928617477417,,,,
delay 1.0,1554666862.90646,1554666862.93822,1554666864.96542,1554666864.99699,1554666865.74335,0.03175687789917,2.80512499809265,,143.602132797241,1707.27368354797,3624.65524673462
delay 1.0,1554666863.93945,1554666863.97132,1554666864.99713,1554666865.02886,1554666865.7436,0.031866788864136,1.77227973937988,,24.983406066895,1535.17046928406,3254.60505485535
delay 1.0,1554666864.97261,1554666865.0044,1554666865.02903,1554666865.06079,1554666865.74372,0.031787633895874,0.739325046539307,,95.087051391602,1506.9034576416,3452.36158370972
delay 1.0,1554666866.00566,1554666866.03753,1554666868.05757,1554666868.08933,1554666868.82633,0.031866788864136,2.78880190849304,,84.956884384155,1333.64731788635,3255.2502155304
delay 1.0,1554666867.0388,1554666867.07052,1554666868.08942,1554666868.1229,1554666868.82659,0.031726121902466,1.75606465339661,,25.083780288696,492.338185310364,2013.0443572998
delay 1.0,1554666868.07178,1554666868.1038,1554666868.12304,1554666868.15485,1554666868.82672,0.032023668289185,0.722913265228272,,41.059494018555,42.305178642273,52.809000015259
delay 1.0,1554666869.10506,1554666869.1368,1554666869.96564,1554666869.99741,1554666870.74544,0.031740427017212,1.60863947868347,,24.816989898682,373.428087234497,1520.94984054565
delay 1.0,1554666870.13716,1554666870.16893,1554666871.05818,1554666871.08993,1554666871.82626,0.031769037246704,1.65733122825623,,23.720741271973,56.947808265686,277.587652206421
delay 1.0,1554666871.17018,1554666871.2018,1554666874.05822,1554666874.09004,1554666874.82645,0.031615257263184,3.62465524673462,,24.547100067139,45.7415580749512,195.99461555481
delay 1.0,1554666872.20307,1554666872.23491,1554666874.09019,1554666874.12196,1554666874.82671,0.03183913230896,2.59180021286011,,,,
delay 1.0,1554666873.2362,1554666873.26874,1554666874.12211,1554666874.15404,1554666874.82684,0.032542943954468,1.55809807777405,,,,
delay 1.0,1554666874.26999,1554666874.30183,1554666874.96512,1554666874.99677,1554666875.31307,0.03183650970459,1.01124143600464,,,,
delay 1.0,1554666875.30311,1554666875.33497,1554666877.05817,1554666877.08981,1554666877.82908,0.031858444213867,2.49411392211914,,,,
delay 1.0,1554666876.33623,1554666876.36798,1554666877.08994,1554666877.12177,1554666877.82934,0.031745433807373,1.46135902404785,,,,
delay 1.0,1554666877.36924,1554666877.40097,1554666879.96566,1554666879.99727,1554666880.47816,0.031737327575684,3.07719087600708,,,,
delay 1.0,1554666878.40225,1554666878.43407,1554666879.99736,1554666880.02921,1554666880.47836,0.031816959381104,2.04429221153259,,,,
delay 1.0,1554666879.43533,1554666879.46705,1554666880.02936,1554666880.06116,1554666880.47841,0.03171706199646,1.01136612892151,,,,
delay 1.0,1554666880.46818,1554666880.50001,1554666883.05852,1554666883.09024,1554666883.8268,0.031830549240112,3.32678985595703,,,,
delay 1.0,1554666881.5021,1554666881.53384,1554666883.09038,1554666883.12219,1554666883.82705,0.031744956970215,2.29320788383484,,,,
delay 1.0,1554666882.53512,1554666882.56688,1554666883.12236,1554666883.15433,1554666883.82717,0.031761169433594,1.26028513908386,,,,
delay 1.0,1554666883.56814,1554666883.59994,1554666884.9657,1554666884.99721,1554666885.74358,0.031794548034668,2.14364266395569,,,,
delay 1.0,1554666884.60121,1554666884.63298,1554666884.99731,1554666885.02913,1554666885.74383,0.031765937805176,1.11085391044617,,,,
delay 1.0,1554666885.63425,1554666885.66606,1554666886.05866,1554666886.09037,1554666886.82683,0.031809329986572,1.16076922416687,,,,
delay 1.0,1554666886.66733,1554666886.69919,1554666889.05875,1554666889.09051,1554666889.82778,0.03186559677124,3.12858366966248,,,,
delay 1.0,1554666887.70046,1554666887.73224,1554666889.0906,1554666889.12231,1554666889.82803,0.031783580780029,2.09578728675842,,,,
delay 1.0,1554666888.73353,1554666888.7654,1554666889.12245,1554666889.15426,1554666889.82815,0.031862497329712,1.06275773048401,,,,
delay 1.0,1554666889.76663,1554666889.79847,1554666889.96547,1554666889.99702,1554666890.74513,0.031835079193115,0.946660995483398,,,,
delay 1.0,1554666890.79975,1554666890.83151,1554666892.05881,1554666892.09058,1554666892.82798,0.031768798828125,1.99646139144897,,,,
delay 1.0,1554666891.83276,1554666891.86452,1554666892.09074,1554666892.12249,1554666892.82824,0.031753778457642,0.963723659515381,,,,
delay 1.0,1554666892.86514,1554666892.89684,1554666894.96546,1554666894.99713,1554666895.10601,0.031700611114502,2.20917057991028,,,,
delay 1.0,1554666893.89812,1554666893.92978,1554666894.99725,1554666895.02904,1554666895.10625,0.031668901443482,1.17646837234497,,,,
delay 1.0,1554666894.93104,1554666894.96278,1554666895.0292,1554666895.06103,1554666895.10638,0.03174352645874,0.143602132797241,,,,
delay 1.0,1554666895.96404,1554666895.9957,1554666898.05891,1554666898.09052,1554666898.82797,0.031659841537476,2.83227872848511,,,,
delay 1.0,1554666896.99695,1554666897.02866,1554666898.09068,1554666898.12224,1554666898.82833,0.031718015670776,1.79966926574707,,,,
delay 1.0,1554666898.02992,1554666898.06144,1554666898.12238,1554666898.15416,1554666898.82845,0.031521797180176,0.767002105712891,,,,
delay 1.0,1554666899.0627,1554666899.09445,1554666899.96598,1554666899.99758,1554666900.74409,0.031752109527588,1.64963388442993,,,,
delay 1.0,1554666900.09577,1554666900.12754,1554666901.05914,1554666901.09085,1554666901.86366,0.031773090362549,1.73612284660339,,,,
delay 1.0,1554666901.12877,1554666901.16074,1554666901.16126,1554666901.19298,1554666901.86392,0.031972169876099,0.703174829483032,,,,
delay 0.5,1554666902.16215,1554666902.19389,1554666904.05926,1554666904.09107,1554666904.13385,0.031737804412842,1.93995976448059,,,,
delay 0.5,1554666902.69463,1554666902.72649,1554666904.09122,1554666904.12308,1554666904.13411,0.03186821937561,1.40761184692383,,,,
delay 0.5,1554666903.22725,1554666903.25906,1554666904.12322,1554666904.15514,1554666904.16531,0.031814336776733,0.906246185302734,,,,
