0,32,1555356683.06861,1555356683.08645,1555356683.11823,1555356683.1362
1,32,1555356683.10018,1555356683.14977,1555356683.18148,1555356683.19883
2,32,1555356683.13165,1555356683.21292,1555356683.24458,1555356683.26148
3,32,1555356683.16296,1555356683.27601,1555356683.30766,1555356683.32383
4,32,1555356683.19428,1555356683.34245,1555356683.37401,1555356683.38615
5,32,1555356683.22576,1555356683.40542,1555356683.43715,1555356683.44882
6,32,1555356683.25709,1555356683.46853,1555356683.50012,1555356683.51128
7,32,1555356683.28849,1555356683.53167,1555356683.56348,1555356683.57377
8,32,1555356683.31991,1555356683.59493,1555356683.62665,1555356683.63639
9,32,1555356683.35183,1555356683.65812,1555356683.68973,1555356683.69912
10,32,1555356683.38332,1555356683.72112,1555356683.75278,1555356683.76188
11,32,1555356683.41486,1555356683.7842,1555356683.81679,1555356683.82463
12,32,1555356683.44638,1555356683.84827,1555356683.87984,1555356683.88701
13,32,1555356683.47903,1555356683.91127,1555356683.94284,1555356683.94993
14,32,1555356683.5164,1555356683.97436,1555356684.00584,1555356684.01247
15,32,1555356683.54798,1555356684.03726,1555356684.0693,1555356684.07499
16,32,1555356683.57945,1555356684.10089,1555356684.13247,1555356684.16894
17,32,1555356683.61098,1555356684.16397,1555356684.19569,1555356684.23168
18,32,1555356683.6425,1555356684.23249,1555356684.26413,1555356684.29398
19,32,1555356683.67397,1555356684.29566,1555356684.32728,1555356684.3566
20,32,1555356683.7054,1555356684.35875,1555356684.39027,1555356684.41933
21,32,1555356683.737,1555356684.42156,1555356684.45307,1555356684.48189
22,32,1555356683.7685,1555356684.48443,1555356684.51599,1555356684.5446
23,32,1555356683.79999,1555356684.54743,1555356684.579,1555356684.60701
24,32,1555356683.83147,1555356684.61039,1555356684.64179,1555356684.66951
25,32,1555356683.86288,1555356684.67319,1555356684.70472,1555356684.73207
26,32,1555356683.89443,1555356684.73606,1555356684.76761,1555356684.79466
27,32,1555356683.92603,1555356684.79939,1555356684.83111,1555356684.85758
28,32,1555356683.9575,1555356684.86256,1555356684.8941,1555356684.92057
29,32,1555356683.98902,1555356684.92542,1555356684.95717,1555356684.98328
30,32,1555356684.02073,1555356684.98855,1555356685.02021,1555356685.04605
31,32,1555356684.05214,1555356685.05164,1555356685.08332,1555356685.10884
32,32,1555356684.08429,1555356685.11478,1555356685.14652,1555356685.17157
33,32,1555356684.11579,1555356685.1792,1555356685.21095,1555356685.23422
34,32,1555356684.14739,1555356685.24237,1555356685.27398,1555356685.29686
35,32,1555356684.17902,1555356685.30542,1555356685.3371,1555356685.35929
36,32,1555356684.21055,1555356685.36856,1555356685.40017,1555356685.42215
37,32,1555356684.24205,1555356685.43163,1555356685.4631,1555356685.48484
38,32,1555356684.27355,1555356685.49449,1555356685.52609,1555356685.54748
39,32,1555356684.30499,1555356685.55745,1555356685.58893,1555356685.60996
40,32,1555356684.3365,1555356685.6202,1555356685.6518,1555356685.67264
41,32,1555356684.36794,1555356685.68335,1555356685.71494,1555356685.73549
42,32,1555356684.39933,1555356685.74634,1555356685.77794,1555356685.79811
43,32,1555356684.43087,1555356685.80956,1555356685.84127,1555356685.86097
44,32,1555356684.46229,1555356685.87274,1555356685.9043,1555356685.92434
45,32,1555356684.49365,1555356685.93576,1555356685.96733,1555356685.98768
46,32,1555356684.52521,1555356685.99864,1555356686.03019,1555356686.05064
47,32,1555356684.55696,1555356686.06138,1555356686.09279,1555356686.11374
48,32,1555356684.58858,1555356686.12404,1555356686.15562,1555356686.17668
49,32,1555356684.61992,1555356686.18802,1555356686.21973,1555356686.23938
50,32,1555356730.55288,1555356730.57261,1555356730.60432,1555356730.62065
51,32,1555356730.58422,1555356730.63584,1555356730.66742,1555356730.68345
52,32,1555356730.61555,1555356730.69872,1555356730.73074,1555356730.74646
53,32,1555356730.6469,1555356730.76212,1555356730.79363,1555356730.80941
54,32,1555356730.6783,1555356730.82501,1555356730.85649,1555356730.87225
55,32,1555356730.70968,1555356730.88797,1555356730.91966,1555356730.93498
56,32,1555356730.74189,1555356730.95124,1555356730.9829,1555356730.99809
57,32,1555356730.77346,1555356731.01439,1555356731.04596,1555356731.06145
58,32,1555356730.80479,1555356731.0774,1555356731.10905,1555356731.12446
59,32,1555356730.83619,1555356731.14055,1555356731.17212,1555356731.18783
60,32,1555356730.86756,1555356731.20363,1555356731.23533,1555356731.25072
61,32,1555356730.89904,1555356731.2668,1555356731.29845,1555356731.31367
62,32,1555356730.9305,1555356731.33009,1555356731.36169,1555356731.37703
63,32,1555356730.962,1555356731.39445,1555356731.42635,1555356731.44017
64,32,1555356730.99338,1555356731.45797,1555356731.48957,1555356731.5032
65,32,1555356731.02475,1555356731.52116,1555356731.55277,1555356731.57559
66,32,1555356731.05619,1555356731.58465,1555356731.61627,1555356731.63869
67,32,1555356731.08755,1555356731.64808,1555356731.67962,1555356731.70176
68,32,1555356731.11889,1555356731.71141,1555356731.74301,1555356731.76491
69,32,1555356731.15038,1555356731.77457,1555356731.80616,1555356731.82785
70,32,1555356731.18176,1555356731.83851,1555356731.87014,1555356731.89088
71,32,1555356731.21327,1555356731.90169,1555356731.93334,1555356731.95391
72,32,1555356731.24469,1555356731.96574,1555356731.99803,1555356732.0174
73,32,1555356731.27661,1555356732.02956,1555356732.06131,1555356732.08036
74,32,1555356731.30799,1555356732.09295,1555356732.12479,1555356732.14326
75,32,1555356731.33959,1555356732.15637,1555356732.18814,1555356732.20642
76,32,1555356731.37109,1555356732.21976,1555356732.25137,1555356732.26924
