0,1,1555780899.34596820,1,1555780899.37784
1,1,1555780899.40954141,1,1555780899.4413383
2,1,1555780899.47633082,1,1555780899.5084763
3,1,1555780899.54038793,1,1555780899.5724244
4,1,1555780899.60415674,1,1555780899.6358504
5,1,1555780899.66739635,1,1555780899.6993861
6,1,1555780899.7312656,1,1555780899.7633858
7,1,1555780899.7949987,1,1555780899.82691
8,1,1555780899.85869438,1,1555780899.8904471
9,1,1555780899.92203129,1,1555780899.9534225
10,1,1555780899.98515710,1,1555780900.0169613
11,1,1555780900.048652211,1,1555780900.0805686
12,1,1555780900.112216512,1,1555780900.1439874
13,1,1555780900.175485613,1,1555780900.2072916
14,1,1555780900.238975514,1,1555780900.2709112
15,1,1555780900.302676415,1,1555780900.334829
16,1,1555780900.366474416,1,1555780900.3983495
17,1,1555780900.42996317,1,1555780900.461779
18,1,1555780900.49345818,1,1555780900.5254664
19,1,1555780900.557081719,1,1555780900.5890481
20,2,1555780900.620649620,2,1555780900.6524882
21,2,1555780900.683976421,2,1555780900.7159078
22,2,1555780900.747472522,2,1555780900.779179
23,2,1555780900.81069323,2,1555780900.842543
24,2,1555780900.874193224,2,1555780900.9058712
25,2,1555780900.937487625,2,1555780900.9692535
26,2,1555780901.00084326,2,1555780901.0326433
27,2,1555780901.064464827,2,1555780901.0963285
28,2,1555780901.127997928,2,1555780901.1599178
29,2,1555780901.19157429,2,1555780901.2235076
30,2,1555780901.255079730,2,1555780901.2869043
31,2,1555780901.318516531,2,1555780901.3511784
32,2,1555780901.38269432,2,1555780901.4145122
33,2,1555780901.44690133,2,1555780901.478703
34,2,1555780901.510263434,2,1555780901.542177
35,2,1555780901.573806535,2,1555780901.605531
36,2,1555780901.637094336,2,1555780901.6689706
37,2,1555780901.700483637,2,1555780901.7334988
38,2,1555780901.765057638,2,1555780901.796738
39,2,1555780901.828445739,2,1555780901.8603454
40,4,1555780901.891987840,4,1555780901.9238114
41,4,1555780901.955819641,4,1555780901.9876401
42,4,1555780902.01932442,4,1555780902.0514965
43,4,1555780902.08328443,4,1555780902.1152701
44,4,1555780902.146892544,4,1555780902.17853
45,4,1555780902.209968345,4,1555780902.2417185
46,4,1555780902.273496246,4,1555780902.3057344
47,4,1555780902.337535947,4,1555780902.369405
48,4,1555780902.401160748,4,1555780902.4332647
49,4,1555780902.46512649,4,1555780902.4972117
50,4,1555780902.528882750,4,1555780902.5609658
51,4,1555780902.592805451,4,1555780902.6249623
52,4,1555780902.657049452,4,1555780902.6890616
53,4,1555780902.720731753,4,1555780902.7523894
54,4,1555780902.78391754,4,1555780902.8157563
55,4,1555780902.847632455,4,1555780902.879476
56,4,1555780902.911191256,4,1555780902.9431667
57,4,1555780902.975019757,4,1555780903.0069711
58,4,1555780903.039083258,4,1555780903.0711105
59,4,1555780903.102883359,4,1555780903.1348991
60,8,1555780903.166568360,8,1555780903.1983302
61,8,1555780903.230017261,8,1555780903.2618105
62,8,1555780903.293784662,8,1555780903.3258278
63,8,1555780903.3575563,8,1555780903.3896105
64,8,1555780903.421385864,8,1555780903.4534404
65,8,1555780903.485040465,8,1555780903.5170121
66,8,1555780903.54877466,8,1555780903.5805693
67,8,1555780903.612347667,8,1555780903.644137
68,8,1555780903.67812968,8,1555780903.7099166
69,8,1555780903.741446769,8,1555780903.7734387
70,8,1555780903.80526870,8,1555780903.837032
71,8,1555780903.86897371,8,1555780903.9007897
72,8,1555780903.932380272,8,1555780903.9642265
73,8,1555780903.996026573,8,1555780904.0280118
74,8,1555780904.059635674,8,1555780904.0930247
75,8,1555780904.124673875,8,1555780904.156571
76,8,1555780904.1882376,8,1555780904.2199423
77,8,1555780904.251478777,8,1555780904.283248
78,8,1555780904.3148678,8,1555780904.3466644
79,8,1555780904.378432579,8,1555780904.41031
80,16,1555780904.44206280,16,1555780904.4735625
81,16,1555780904.504992781,16,1555780904.5366528
82,16,1555780904.568297482,16,1555780904.6001923
83,16,1555780904.631956883,16,1555780904.663996
84,16,1555780904.695757684,16,1555780904.7273717
85,16,1555780904.759167785,16,1555780904.7908323
86,16,1555780904.822384886,16,1555780904.8540204
87,16,1555780904.885881487,16,1555780904.9176576
88,16,1555780904.949336588,16,1555780904.9810882
89,16,1555780905.012539189,16,1555780905.0444682
90,16,1555780905.076210390,16,1555780905.1082659
91,16,1555780905.139970591,16,1555780905.1719296
92,16,1555780905.20333492,16,1555780905.235358
93,16,1555780905.26701593,16,1555780905.2988818
94,16,1555780905.33074394,16,1555780905.3627617
95,16,1555780905.394624795,16,1555780905.4266527
96,16,1555780905.458385796,16,1555780905.4904509
97,16,1555780905.521948897,16,1555780905.5538645
98,16,1555780905.58627298,16,1555780905.6183462
99,16,1555780905.649875999,16,1555780905.6817603
100,32,1555780905.713155100,32,1555780905.744775
101,32,1555780905.7763016101,32,1555780905.8083766
102,32,1555780905.8399699102,32,1555780905.8717046
103,32,1555780905.9033723103,32,1555780905.9352202
104,32,1555780905.9667645104,32,1555780905.9984174
105,32,1555780906.030088105,32,1555780906.061891
106,32,1555780906.093599106,32,1555780906.1254861
107,32,1555780906.1572623107,32,1555780906.1891615
108,32,1555780906.2209165108,32,1555780906.2525856
109,32,1555780906.2840426109,32,1555780906.3157744
110,32,1555780906.3472798110,32,1555780906.3789184
111,32,1555780906.4105186111,32,1555780906.4420805
112,32,1555780906.4735134112,32,1555780906.5052848
113,32,1555780906.5369205113,32,1555780906.568723
114,32,1555780906.600343114,32,1555780906.6320896
115,32,1555780906.6636062115,32,1555780906.695197
116,32,1555780906.7266693116,32,1555780906.7580695
