loss setting:0.0,key,produce time,receive time client 1,receive time client 2,receive time client 3
,1554671299.68862,1554671300.84019,1554671302.67511,1554671301.4807,1554671301.47063
,1554671300.84036,1554671300.87236,1554671302.67536,1554671301.48096,1554671301.47087
,1554671300.87251,1554671302.0563,1554671302.67548,1554671302.06315,1554671302.51389
,1554671302.05645,1554671302.0885,1554671302.6756,1554671302.49152,1554671302.51413
,1554671302.08863,1554671303.33707,1554671305.58705,1554671303.32668,1554671303.43651
,1554671303.33723,1554671303.36933,1554671305.58736,1554671303.35893,1554671303.43677
,1554671303.36946,1554671304.65167,1554671305.58748,1554671305.0821,1554671304.66502
,1554671304.65184,1554671304.6839,1554671305.58759,1554671305.08235,1554671305.02852
,1554671304.68404,1554671306.02413,1554671308.67554,1554671306.48022,1554671307.51385
,1554671306.02428,1554671306.05623,1554671308.67587,1554671306.48048,1554671307.5141
,1554671306.05636,1554671307.43278,1554671308.67599,1554671307.42245,1554671307.51427
,1554671307.43293,1554671307.46506,1554671308.67611,1554671307.45469,1554671307.51439
,1554671307.46519,1554671308.87234,1554671309.23802,1554671308.86207,1554671309.34798
,1554671308.8725,1554671308.90464,1554671309.23828,1554671308.89433,1554671309.34823
,1554671308.90474,1554671310.34405,1554671310.36816,1554671310.43233,1554671310.59847
loss setting:0.2,,,,,
,1554671492.40449,1554671492.43674,1554671494.68275,1554671492.57602,1554671493.60417
,1554671492.43694,1554671493.60746,1554671494.68301,1554671493.6136,1554671493.73541
,1554671493.60761,1554671494.94968,1554671495.58777,1554671495.57593,1554671496.60425
,1554671494.94983,1554671494.98162,1554671495.58802,1554671495.57621,1554671496.60448
,1554671494.98174,1554671496.35771,1554671497.68269,1554671496.48154,1554671496.6046
,1554671496.35786,1554671498.88269,1554671500.58856,1554671499.58323,1554671499.6054
,1554671498.88286,1554671498.9149,1554671500.58882,1554671499.58349,1554671499.60563
,1554671498.91502,1554671498.94684,1554671500.58894,1554671499.58361,1554671499.60576
,1554671498.94695,1554671500.10171,1554671500.58906,1554671500.56986,1554671502.51868
,1554671500.10186,1554671500.13397,1554671500.58917,1554671500.57014,1554671502.51893
,1554671500.13405,1554671501.34986,1554671503.68287,1554671501.48174,1554671502.51905
,1554671501.35001,1554671501.38191,1554671503.68313,1554671501.48197,1554671502.51918
,1554671501.38206,1554671502.62952,1554671503.68326,1554671503.97816,1554671502.62706
,1554671502.62968,1554671502.6616,1554671503.68338,1554671503.97842,1554671502.67603
,1554671502.66175,1554671502.69355,1554671503.68349,1554671503.97854,1554671503.67152
,1554671502.69365,1554671505.20485,1554671505.58809,1554671503.97865,1554671504.56877
,1554671505.205,1554671505.2408,1554671505.58836,1554671506.48182,1554671505.60532
,1554671505.24093,1554671506.33615,1554671506.68296,1554671506.4837,1554671507.51776
,1554671506.3363,1554671507.71751,1554671509.68301,1554671508.33237,1554671508.25938
,1554671507.71771,1554671515.3345,1554671515.68324,1554671515.34216,1554671516.05006
,1554671515.33466,1554671515.36663,1554671515.68349,1554671515.66502,1554671516.05033
,1554671515.36675,1554671516.64556,1554671518.68342,1554671516.88033,1554671516.83099
,1554671516.64573,1554671516.67751,1554671518.68367,1554671516.88051,1554671516.83128
,1554671516.6776,1554671517.98978,1554671518.68379,1554671517.9974,1554671518.27114
,1554671517.98993,1554671518.02179,1554671518.68393,1554671518.20455,1554671518.27139
,1554671518.02191,1554671519.36547,1554671520.58881,1554671519.57632,1554671519.77857
,1554671519.36568,1554671519.39763,1554671520.58906,1554671519.57661,1554671519.77882
,1554671519.39775,1554671520.80538,1554671521.68352,1554671521.48232,1554671522.5181
,1554671520.80554,1554671520.83748,1554671521.68378,1554671521.48257,1554671522.51838
,1554671520.83759,1554671522.27848,1554671524.68354,1554671522.5764,1554671522.5185
,1554671522.27863,1554671522.31069,1554671524.68379,1554671522.57669,1554671522.51863
,1554671522.31083,1554671523.78216,1554671524.68392,1554671525.57635,1554671524.67214
,1554671523.78231,1554671523.81423,1554671524.68403,1554671525.57664,1554671524.67239
,1554671523.81437,1554671525.31992,1554671525.58869,1554671525.57676,1554671526.60578
,1554671525.32009,1554671525.35209,1554671525.58893,1554671525.57688,1554671526.60603
,1554671525.35223,1554671526.91795,1554671527.68362,1554671527.09633,1554671526.93256
,1554671526.9181,1554671526.95006,1554671527.68389,1554671527.09661,1554671526.96449
,1554671526.9502,1554671526.98204,1554671527.68402,1554671527.09674,1554671527.01113
,1554671526.98218,1554671528.42148,1554671530.5896,1554671528.5766,1554671529.60618
,1554671528.42163,1554671528.45354,1554671530.58985,1554671528.57685,1554671529.60646
,1554671528.45368,1554671529.92528,1554671530.58997,1554671530.57071,1554671532.52213
,1554671529.92543,1554671529.95773,1554671530.59009,1554671530.57096,1554671532.5224
,1554671529.95788,1554671531.46131,1554671533.68366,1554671531.48206,1554671532.52253
,1554671531.46146,1554671531.49318,1554671533.68481,1554671531.57643,1554671532.52264
,1554671531.49333,1554671533.02915,1554671533.68494,1554671534.57675,1554671535.57776
,1554671533.02931,1554671533.0611,1554671533.68506,1554671534.577,1554671535.57802
,1554671533.06122,1554671534.66141,1554671534.83108,1554671534.66925,1554671535.57814
