0,1,1555781869.98482,1555781869.99873,1555781870.00043,1555781869.99863
1,1,1555781869.98576,1555781870.00141,1555781870.00256,1555781870.00109
2,1,1555781869.98664,1555781870.00339,1555781870.00441,1555781870.00299
3,1,1555781869.98761,1555781870.00523,1555781870.00623,1555781870.00537
4,1,1555781869.98843,1555781870.00705,1555781870.00803,1555781870.00714
5,1,1555781869.98929,1555781870.00902,1555781870.01008,1555781870.00884
6,1,1555781869.99017,1555781870.01089,1555781870.01191,1555781870.01039
7,1,1555781869.99107,1555781870.01287,1555781870.0138,1555781870.01263
8,1,1555781869.99195,1555781870.01464,1555781870.01556,1555781870.01424
9,1,1555781869.9929,1555781870.01641,1555781870.01732,1555781870.01588
10,1,1555781869.99374,1555781870.01819,1555781870.01934,1555781870.01814
11,1,1555781869.99458,1555781870.02015,1555781870.02107,1555781870.01961
12,1,1555781869.99541,1555781870.02188,1555781870.0228,1555781870.02183
13,1,1555781869.99624,1555781870.02362,1555781870.02457,1555781870.02329
14,1,1555781869.99709,1555781870.02551,1555781870.02646,1555781870.02548
15,1,1555781869.99789,1555781870.02739,1555781870.02827,1555781870.02702
16,1,1555781869.99873,1555781870.02916,1555781870.03022,1555781870.02871
17,1,1555781869.99955,1555781870.03112,1555781870.03204,1555781870.03112
18,1,1555781870.00037,1555781870.03285,1555781870.03388,1555781870.03262
19,1,1555781870.00123,1555781870.03472,1555781870.03571,1555781870.03418
20,2,1555781870.00222,1555781870.03667,1555781870.0377,1555781870.03637
21,2,1555781870.00314,1555781870.03858,1555781870.03991,1555781870.03832
22,2,1555781870.00395,1555781870.04079,1555781870.04174,1555781870.04087
23,2,1555781870.00487,1555781870.04259,1555781870.04357,1555781870.04246
24,2,1555781870.00579,1555781870.04452,1555781870.04542,1555781870.04416
25,2,1555781870.00668,1555781870.04624,1555781870.04714,1555781870.04585
26,2,1555781870.0078,1555781870.04801,1555781870.049,1555781870.04755
27,2,1555781870.00866,1555781870.04987,1555781870.05074,1555781870.04996
28,2,1555781870.00946,1555781870.05156,1555781870.05252,1555781870.05157
29,2,1555781870.01041,1555781870.05336,1555781870.05432,1555781870.05317
30,2,1555781870.01134,1555781870.05516,1555781870.05617,1555781870.05473
31,2,1555781870.01218,1555781870.05705,1555781870.05798,1555781870.05711
32,2,1555781870.013,1555781870.05881,1555781870.05979,1555781870.05871
33,2,1555781870.01384,1555781870.06064,1555781870.06167,1555781870.06034
34,2,1555781870.01475,1555781870.0626,1555781870.06368,1555781870.06255
35,2,1555781870.01563,1555781870.06453,1555781870.06543,1555781870.06411
36,2,1555781870.01669,1555781870.06631,1555781870.06727,1555781870.06644
37,2,1555781870.01792,1555781870.06811,1555781870.06902,1555781870.06801
38,2,1555781870.01877,1555781870.06988,1555781870.07079,1555781870.06955
39,2,1555781870.01964,1555781870.07165,1555781870.07262,1555781870.07115
40,4,1555781870.02049,1555781870.07354,1555781870.07456,1555781870.0734
41,4,1555781870.02137,1555781870.07593,1555781870.07704,1555781870.07565
42,4,1555781870.0223,1555781870.07788,1555781870.07886,1555781870.07749
43,4,1555781870.02321,1555781870.07976,1555781870.08092,1555781870.07997
44,4,1555781870.02416,1555781870.0818,1555781870.08276,1555781870.08161
45,4,1555781870.02514,1555781870.08369,1555781870.08474,1555781870.08328
46,4,1555781870.0263,1555781870.08562,1555781870.0865,1555781870.08509
47,4,1555781870.02746,1555781870.08733,1555781870.08825,1555781870.08691
48,4,1555781870.02829,1555781870.08918,1555781870.0902,1555781870.08876
49,4,1555781870.02915,1555781870.09104,1555781870.09194,1555781870.09088
50,4,1555781870.03003,1555781870.0928,1555781870.09375,1555781870.09249
51,4,1555781870.03098,1555781870.09457,1555781870.09547,1555781870.09416
52,4,1555781870.03189,1555781870.09632,1555781870.09722,1555781870.09594
53,4,1555781870.03279,1555781870.09804,1555781870.09898,1555781870.09759
54,4,1555781870.03363,1555781870.09983,1555781870.10079,1555781870.09943
55,4,1555781870.0347,1555781870.10164,1555781870.10253,1555781870.1012
56,4,1555781870.03557,1555781870.10341,1555781870.1043,1555781870.10288
57,4,1555781870.03652,1555781870.10512,1555781870.10618,1555781870.10457
58,4,1555781870.03736,1555781870.107,1555781870.10794,1555781870.10718
59,4,1555781870.03819,1555781870.10897,1555781870.10995,1555781870.10881
60,8,1555781870.03902,1555781870.11079,1555781870.11177,1555781870.11039
61,8,1555781870.03987,1555781870.11262,1555781870.11385,1555781870.1122
62,8,1555781870.04077,1555781870.11467,1555781870.11556,1555781870.11478
63,8,1555781870.04171,1555781870.11642,1555781870.11739,1555781870.11655
64,8,1555781870.04276,1555781870.11826,1555781870.11926,1555781870.1182
65,8,1555781870.04371,1555781870.12009,1555781870.12099,1555781870.11994
66,8,1555781870.04452,1555781870.12182,1555781870.12295,1555781870.12168
67,8,1555781870.04536,1555781870.12388,1555781870.12477,1555781870.12344
68,8,1555781870.04621,1555781870.12577,1555781870.12669,1555781870.12623
69,8,1555781870.04714,1555781870.1275,1555781870.12845,1555781870.12725
70,8,1555781870.04821,1555781870.12938,1555781870.1303,1555781870.12897
71,8,1555781870.05067,1555781870.13115,1555781870.13219,1555781870.13077
72,8,1555781870.05156,1555781870.13317,1555781870.13416,1555781870.1328
73,8,1555781870.05255,1555781870.13506,1555781870.13593,1555781870.13457
74,8,1555781870.05347,1555781870.1368,1555781870.1377,1555781870.13635
75,8,1555781870.05433,1555781870.13877,1555781870.13975,1555781870.13879
76,8,1555781870.05513,1555781870.1406,1555781870.142,1555781870.14054
