message size, message key, sending time, receiving time(remote), forwarding time(remote), receiving time(local),cs delay,c-s-c delay,min(cs),mean(cs),max(cs),min(csc),mean(csc),max(csc)
Question 3,,,,,,,,,,,,,
8192,1554185371.84267,1554185371.87879,1554185375.01873,1554185375.08757,1554185375.33044,3.13994002342224,3.45165014266968,,,,,,
16384,1554185371.87903,1554185371.92981,1554185375.08779,1554185375.14247,1554185375.33054,3.15797996520996,3.40072989463806,,,,,,
32768,1554185371.92995,1554185372.12754,1554185375.14269,1554185375.34951,1554185375.40549,3.01514983177185,3.27794981002808,,,,,,
65536,1554185372.12771,1554185372.25251,1554185375.34982,1554185375.51745,1554185375.67301,3.09730982780457,3.42050004005432,,,,,,
131072,1554185372.25267,1554185372.51117,1554185375.51784,1554185375.78725,1554185376.02807,3.00666999816895,3.51690006256104,,,,,,
262144,1554185372.51138,1554185372.95576,1554185375.78771,1554185376.16449,1554185376.71927,2.83194994926453,3.76350998878479,,,,,,
524288,1554185372.95599,1554185373.73947,1554185376.16501,1554185377.02631,1554185377.78262,2.42553997039795,4.04314994812012,,,,,,
1,1554185373.73972,1554185373.78621,1554185377.02674,1554185377.0586,1554185377.82626,3.24053001403809,4.04005002975464,,,,,,
2,1554185373.78634,1554185373.82662,1554185377.05875,1554185377.09038,1554185377.82654,3.2321298122406,3.99991989135742,,,,,,
4,1554185373.82674,1554185373.85971,1554185377.09061,1554185377.22562,1554185377.82669,3.23090004920959,3.96697998046875,,,,,,
8,1554185373.85985,1554185373.89421,1554185377.22593,1554185377.30076,1554185377.82682,3.33171987533569,3.93260979652405,,,,,,
16,1554185373.89434,1554185373.92987,1554185377.30106,1554185377.37657,1554185377.82697,3.37119007110596,3.89710021018982,,,,,,
32,1554185373.92999,1554185373.9656,1554185377.37688,1554185377.4104,1554185377.82709,3.41127991676331,3.86149001121521,,,,,,
64,1554185373.96583,1554185373.99766,1554185377.41074,1554185377.44384,1554185377.82718,3.41307997703552,3.82951998710632,,,,,,
128,1554185373.99779,1554185374.02955,1554185377.44416,1554185377.48036,1554185377.82729,3.41460990905762,3.79773998260498,,,,,,
256,1554185374.02967,1554185374.06148,1554185377.48057,1554185377.52623,1554185377.82738,3.41909003257751,3.7658998966217,,,,,,
512,1554185374.06164,1554185374.0934,1554185377.52641,1554185377.57029,1554185377.82747,3.43301010131836,3.73407006263733,,,,,,
1024,1554185374.09355,1554185374.12543,1554185377.57046,1554185377.60945,1554185377.82756,3.44502997398376,3.70212984085083,,,,,,
2048,1554185374.12562,1554185374.16195,1554185377.60965,1554185377.6418,1554185377.82764,3.44769978523254,3.66568994522095,,,,,,
4096,1554185374.16219,1554185374.25895,1554185377.64211,1554185377.73266,1554185377.82773,3.38316011428833,3.56877994537354,,,,,,
8192,1554185374.2592,1554185374.36853,1554185377.7329,1554185377.77773,1554185377.82783,3.36436986923218,3.45930004119873,,,,,,
16384,1554185374.36877,1554185374.41996,1554185377.7779,1554185377.83163,1554185377.87019,3.35793995857239,3.45022988319397,,,,,,
32768,1554185374.42012,1554185374.63984,1554185377.8319,1554185378.05708,1554185378.14802,3.1920599937439,3.50818014144897,,,,,,
65536,1554185374.6401,1554185374.79619,1554185378.05743,1554185378.22188,1554185378.32939,3.26124000549316,3.53320002555847,,,,,,
131072,1554185374.79643,1554185375.07748,1554185378.22236,1554185378.50974,1554185378.66557,3.14487981796265,3.58808994293213,,,,,,
262144,1554185375.07773,1554185375.51417,1554185378.51025,1554185378.90279,1554185379.29067,2.99608016014099,3.77649998664856,,,,,,
524288,1554185375.51453,1554185376.26048,1554185378.90341,1554185379.69807,1554185380.53698,2.64293003082275,4.27649998664856,,,,,,
1,1554185376.26081,1554185376.30203,1554185379.69846,1554185379.73015,1554185380.53725,3.39643001556396,4.23521995544434,,,,,,
2,1554185376.30218,1554185376.34127,1554185379.7303,1554185379.77603,1554185380.61088,3.38902997970581,4.2696099281311,,,,,,
4,1554185376.34137,1554185376.38539,1554185379.77625,1554185379.82311,1554185380.61108,3.39085984230041,4.22568988800049,,,,,,
8,1554185376.3855,1554185376.4306,1554185379.82337,1554185379.85504,1554185380.61131,3.39277005195618,4.18071007728577,,,,,,
16,1554185376.43073,1554185376.47353,1554185379.85531,1554185379.8925,1554185380.61142,3.38177990913391,4.13788986206055,,,,,,
32,1554185376.47365,1554185376.52169,1554185379.8928,1554185379.92543,1554185380.61155,3.37111020088196,4.08986020088196,,,,,,
64,1554185376.52181,1554185376.56432,1554185379.92566,1554185379.95728,1554185380.61167,3.36133980751038,4.04734992980957,,,,,,
128,1554185376.56444,1554185376.60351,1554185379.95749,1554185380.05003,1554185380.61177,3.35398006439209,4.00826001167297,,,,,,
256,1554185376.60365,1554185376.64652,1554185380.05034,1554185380.0913,1554185380.61186,3.4038200378418,3.96534013748169,,,,,,
512,1554185376.64665,1554185376.69077,1554185380.09146,1554185380.13046,1554185380.61196,3.40069007873535,3.92119002342224,,,,,,
1024,1554185376.691,1554185376.73017,1554185380.13062,1554185380.16646,1554185380.61206,3.4004499912262,3.88189005851746,,,,,,
2048,1554185376.73028,1554185376.76201,1554185380.16667,1554185380.29994,1554185380.61215,3.40465998649597,3.8501398563385,,,,,,
4096,1554185376.76213,1554185376.88111,1554185380.30037,1554185380.34253,1554185380.61224,3.41926002502441,3.73113012313843,,,,,,
8192,1554185376.88127,1554185377.02187,1554185380.34278,1554185380.39292,1554185380.61233,3.32091021537781,3.59046006202698,,,,,,
16384,1554185377.02212,1554185377.07661,1554185380.3932,1554185380.45097,1554185380.61244,3.31658983230591,3.53583002090454,,,,,,
32768,1554185377.07678,1554185377.29069,1554185380.45136,1554185380.65985,1554185380.69106,3.16067004203796,3.4003701210022,,,,,,
65536,1554185377.29093,1554185377.42535,1554185380.66027,1554185380.82406,1554185380.94049,3.23492002487183,3.51514005661011,,,,,,
131072,1554185377.42561,1554185377.72513,1554185380.82441,1554185381.09632,1554185381.32953,3.09927988052368,3.60439991950989,,,,,,
262144,1554185377.72536,1554185378.12898,1554185381.09678,1554185381.47204,1554185382.05464,2.96780014038086,3.92566013336182,,,,,,
524288,1554185378.12924,1554185378.88358,1554185381.47265,1554185382.34911,1554185383.21051,2.58907008171082,4.32693004608154,,,,,,
1,1554185378.88382,1554185378.92927,1554185382.34953,1554185382.38151,1554185383.21082,3.42025995254517,4.28154993057251,,,,,,
2,1554185378.92945,1554185378.97202,1554185382.38163,1554185382.41374,1554185383.21094,3.40961003303528,4.23891997337341,,,,,,
4,1554185378.97214,1554185379.015,1554185382.41392,1554185382.48309,1554185383.21105,3.39891982078552,4.19604992866516,,,,,,
8,1554185379.01511,1554185379.05839,1554185382.48338,1554185382.6117,1554185383.21116,3.42499017715454,4.15277004241943,,,,,,
16,1554185379.05872,1554185379.10198,1554185382.612,1554185382.64366,1554185383.24302,3.5100200176239,4.14104008674622,,,,,,
32,1554185379.10211,1554185379.14846,1554185382.64391,1554185382.67547,1554185383.24315,3.49545001983643,4.0946900844574,,,,,,
64,1554185379.14859,1554185379.19368,1554185382.67565,1554185382.70735,1554185383.24327,3.48196983337402,4.04958987236023,,,,,,
128,1554185379.19393,1554185379.24016,1554185382.70753,1554185382.75055,1554185383.24338,3.46737003326416,4.00322008132935,,,,,,
256,1554185379.24034,1554185379.28672,1554185382.75082,1554185382.88438,1554185383.24348,3.4640998840332,3.95675992965698,,,,,,
512,1554185379.28686,1554185379.3196,1554185382.8847,1554185383.01935,1554185383.24358,3.5650999546051,3.92397999763489,,,,,,
1024,1554185379.31973,1554185379.35136,1554185383.01964,1554185383.15514,1554185383.24369,3.66827988624573,3.89232993125916,,,,,,
2048,1554185379.35149,1554185379.38345,1554185383.15545,1554185383.28887,1554185383.29333,3.7720000743866,3.90987992286682,,,,,,
4096,1554185379.3836,1554185379.43914,1554185383.28923,1554185383.42257,1554185384.15737,3.85009002685547,4.71823000907898,,,,,,
8192,1554185379.4393,1554185379.57561,1554185383.42286,1554185383.55944,1554185384.15768,3.84724998474121,4.58207011222839,,,,,,
16384,1554185379.57583,1554185379.63597,1554185383.55982,1554185383.62033,1554185384.15779,3.9238498210907,4.5218198299408,,,,,,
32768,1554185379.63611,1554185379.88991,1554185383.62054,1554185383.85115,1554185384.15792,3.73062992095947,4.26800990104675,,,,,,
65536,1554185379.89017,1554185380.03757,1554185383.85146,1554185383.9991,1554185384.15803,3.81388998031616,4.12046003341675,,,,,,
131072,1554185380.03777,1554185380.31222,1554185383.99948,1554185384.41249,1554185384.56019,3.68725991249084,4.24796986579895,,,,,,
262144,1554185380.31247,1554185380.7466,1554185384.41304,1554185384.78758,1554185385.42939,3.6664400100708,4.68279004096985,,,,,,
524288,1554185380.74682,1554185381.4818,1554185384.78812,1554185385.50402,1554185386.0904,3.30631995201111,4.60859990119934,,,,,,
Question 5, message key, sending time, receiving time(remote), forwarding time(remote), receiving time(local),cs delay,c-s-c delay,min(cs),mean(cs),max(cs),min(csc),mean(csc),max(csc)
32,1554185390.18544,1554185390.21761,1554185390.21307,1554185390.24506,1554185390.24964,-0.004539966583252,0.03203010559082,-0.004539966583252,0.005640029907227,0.013139963150025,0.03203010559082,0.071822023391724,0.180789947509766
32,1554185390.21786,1554185390.24987,1554185390.24533,1554185390.29338,1554185390.29793,-0.004539966583252,0.048059940338135,-0.004729986190796,0.029406023025513,0.112600088119507,0.049269914627075,0.116214036941528,0.181079864501953
32,1554185390.24999,1554185390.28154,1554185390.29369,1554185390.32623,1554185390.33074,0.012150049209595,0.049200057983399,-0.004729986190796,0.011588001251221,0.02170991897583,0.049269914627075,0.054528045654297,0.058700084686279
