Receive,1,1554185368.2888446,1554185371.3219192
Forward,1,1554185368.2888446,1554185371.659505
Receive,2,1554185368.5955527,1554185371.6598299
Forward,2,1554185368.5955527,1554185371.6918662
Receive,4,1554185368.6276898,1554185371.692109
Forward,4,1554185368.6276898,1554185371.724683
Receive,8,1554185368.659594,1554185371.7249722
Forward,8,1554185368.659594,1554185371.756776
Receive,16,1554185368.6914983,1554185371.757013
Forward,16,1554185368.6914983,1554185371.788921
Receive,32,1554185368.7234106,1554185371.7891736
Forward,32,1554185368.7234106,1554185371.8208468
Receive,64,1554185368.7554064,1554185371.8210545
Forward,64,1554185368.7554064,1554185371.8527753
Receive,128,1554185368.78724,1554185371.8529427
Forward,128,1554185368.78724,1554185371.884654
Receive,256,1554185368.8191357,1554185371.8849661
Forward,256,1554185368.8191357,1554185371.9295316
Receive,512,1554185368.8512437,1554185371.9298267
Forward,512,1554185368.8512437,1554185371.972776
Receive,1024,1554185368.9290097,1554185371.9729757
Forward,1024,1554185368.9290097,1554185372.004941
Receive,2048,1554185368.9607394,1554185372.0051596
Forward,2048,1554185368.9607394,1554185372.1160796
Receive,4096,1554185368.9926894,1554185372.1163974
Forward,4096,1554185368.9926894,1554185372.1514041
Receive,8192,1554185369.062507,1554185372.1515968
Forward,8192,1554185369.062507,1554185372.2344346
Receive,16384,1554185369.2002277,1554185372.2347407
Forward,16384,1554185369.2002277,1554185372.5057638
Receive,32768,1554185369.3414888,1554185372.5061011
Forward,32768,1554185369.3414888,1554185372.7147226
Receive,65536,1554185369.539499,1554185372.7150588
Forward,65536,1554185369.539499,1554185372.862371
Receive,131072,1554185369.6970296,1554185372.8627498
Forward,131072,1554185369.6970296,1554185373.1369092
Receive,262144,1554185369.9361055,1554185373.1373723
Forward,262144,1554185369.9361055,1554185373.5620434
Receive,524288,1554185370.4028752,1554185373.5626144
Forward,524288,1554185370.4028752,1554185374.348109
Receive,1,1554185371.2026467,1554185374.3485928
Forward,1,1554185371.2026467,1554185374.3908372
Receive,2,1554185371.33612,1554185374.3911486
Forward,2,1554185371.33612,1554185374.4338021
Receive,4,1554185371.4692895,1554185374.4341354
Forward,4,1554185371.4692895,1554185374.4766462
Receive,8,1554185371.501401,1554185374.476876
Forward,8,1554185371.501401,1554185374.518263
