1,1554185368.2888446,1554185368.5952811
1,1554185371.2026467,1554185371.3358717
1,1554185373.739716,1554185373.7862093
1,1554185376.260812,1554185376.3020337
1,1554185378.883816,1554185378.9292731
2,1554185368.5955527,1554185368.6275618
2,1554185371.33612,1554185371.469159
2,1554185373.7863383,1554185373.82662
2,1554185376.3021803,1554185376.3412657
2,1554185378.9294543,1554185378.9720218
4,1554185368.6276898,1554185368.6594632
4,1554185371.4692895,1554185371.501213
4,1554185373.8267436,1554185373.8597105
4,1554185376.3413744,1554185376.385392
4,1554185378.9721432,1554185379.0149999
8,1554185368.659594,1554185368.6913538
8,1554185371.501401,1554185371.5331683
8,1554185373.8598535,1554185373.8942118
8,1554185376.3855035,1554185376.4306
8,1554185379.0151145,1554185379.0583897
16,1554185368.6914983,1554185368.7232869
16,1554185371.533284,1554185371.5651155
16,1554185373.8943436,1554185373.929866
16,1554185376.4307332,1554185376.4735262
16,1554185379.0587187,1554185379.1019778
32,1554185368.7234106,1554185368.755185
32,1554185371.56524,1554185371.5975692
32,1554185373.9299853,1554185373.9655948
32,1554185376.4736457,1554185376.5216873
32,1554185379.1021104,1554185379.148456
64,1554185368.7554064,1554185368.7871225
64,1554185371.59768,1554185371.6294973
64,1554185373.9658282,1554185373.9976568
64,1554185376.5218093,1554185376.564322
64,1554185379.1485853,1554185379.193681
128,1554185368.78724,1554185368.8190172
128,1554185371.6297364,1554185371.6813896
128,1554185373.997785,1554185374.0295486
128,1554185376.5644417,1554185376.603511
128,1554185379.1939304,1554185379.240164
256,1554185368.8191357,1554185368.8509977
256,1554185371.681547,1554185371.7132764
256,1554185374.029666,1554185374.0614755
256,1554185376.6036487,1554185376.6465166
256,1554185379.2403362,1554185379.2867217
512,1554185368.8512437,1554185368.9288476
512,1554185371.7134125,1554185371.7450647
512,1554185374.0616393,1554185374.0934012
512,1554185376.6466506,1554185376.6907692
512,1554185379.2868605,1554185379.3196018
1024,1554185368.9290097,1554185368.9606042
1024,1554185371.7452028,1554185371.7784686
1024,1554185374.0935478,1554185374.1254287
1024,1554185376.6910028,1554185376.7301664
1024,1554185379.3197305,1554185379.3513591
2048,1554185368.9607394,1554185368.992561
2048,1554185371.7786067,1554185371.8101559
2048,1554185374.1256158,1554185374.1619484
2048,1554185376.7302842,1554185376.7620142
2048,1554185379.351485,1554185379.3834503
4096,1554185368.9926894,1554185369.0623448
4096,1554185371.8102946,1554185371.8425112
4096,1554185374.1621861,1554185374.2589524
4096,1554185376.7621343,1554185376.8811052
4096,1554185379.3836007,1554185379.4391434
8192,1554185369.062507,1554185369.2000308
8192,1554185371.8426673,1554185371.87879
8192,1554185374.2592018,1554185374.3685338
8192,1554185376.881272,1554185377.0218678
8192,1554185379.4392953,1554185379.5756106
16384,1554185369.2002277,1554185369.3412535
16384,1554185371.8790255,1554185371.9298074
16384,1554185374.3687656,1554185374.41996
16384,1554185377.0221179,1554185377.0766146
16384,1554185379.5758314,1554185379.6359677
32768,1554185369.3414888,1554185369.5392656
32768,1554185371.9299502,1554185372.127538
32768,1554185374.4201171,1554185374.6398368
32768,1554185377.0767784,1554185377.2906885
32768,1554185379.6361098,1554185379.8899086
65536,1554185369.539499,1554185369.6967492
65536,1554185372.1277094,1554185372.2525122
65536,1554185374.6400986,1554185374.7961898
65536,1554185377.2909262,1554185377.425348
65536,1554185379.8901744,1554185380.0375667
131072,1554185369.6970296,1554185369.9358683
131072,1554185372.252667,1554185372.5111659
131072,1554185374.796426,1554185375.077479
131072,1554185377.4256136,1554185377.7251322
131072,1554185380.0377667,1554185380.3122153
262144,1554185369.9361055,1554185370.402625
262144,1554185372.5113826,1554185372.9557564
262144,1554185375.0777261,1554185375.5141733
262144,1554185377.725362,1554185378.128979
262144,1554185380.3124661,1554185380.7465992
524288,1554185370.4028752,1554185371.2023325
524288,1554185372.9559886,1554185373.7394657
524288,1554185375.5145323,1554185376.2604752
524288,1554185378.1292365,1554185378.8835816
524288,1554185380.7468226,1554185381.4818
