message size, message key, receiving time, forwarding time
Question 3,,,
32,1554185571.75806,1554185571.8816,1554185571.92125
32,1554185571.79815,1554185571.92151,1554185571.96245
32,1554185571.83841,1554185571.96272,1554185572.00195
32,1554185571.87825,1554185572.00227,1554185572.04107
32,1554185571.91843,1554185572.04135,1554185572.08273
32,1554185571.95817,1554185572.08301,1554185572.1231
32,1554185571.9979,1554185572.12341,1554185572.16042
32,1554185572.03778,1554185572.16072,1554185572.20026
32,1554185572.07754,1554185572.20053,1554185572.23988
32,1554185572.11748,1554185572.2402,1554185572.27986
32,1554185572.15733,1554185572.28016,1554185572.31181
32,1554185572.19704,1554185572.31208,1554185572.35957
32,1554185572.23682,1554185572.35987,1554185572.3993
32,1554185572.27669,1554185572.3996,1554185572.4318
32,1554185572.31653,1554185572.43203,1554185572.46361
32,1554185572.35636,1554185572.46388,1554185572.51897
32,1554185572.39638,1554185572.51929,1554185572.55916
32,1554185572.43604,1554185572.55939,1554185572.59908
32,1554185572.47588,1554185572.59932,1554185572.6393
32,1554185572.51585,1554185572.63962,1554185572.67947
32,1554185572.55583,1554185572.67976,1554185572.71901
32,1554185572.59597,1554185572.71923,1554185572.75929
32,1554185572.6359,1554185572.75958,1554185572.79518
32,1554185572.67599,1554185572.79548,1554185572.83081
32,1554185572.7161,1554185572.83102,1554185572.8667
32,1554185572.75199,1554185572.86698,1554185572.90225
32,1554185572.78785,1554185572.90252,1554185572.93805
32,1554185572.82378,1554185572.93828,1554185572.97387
32,1554185572.85958,1554185572.97415,1554185573.0097
32,1554185572.89532,1554185573.01002,1554185573.04545
32,1554185572.93113,1554185573.04576,1554185573.0815
32,1554185572.96685,1554185573.08169,1554185573.11783
32,1554185573.00262,1554185573.11814,1554185573.15388
32,1554185573.03863,1554185573.1542,1554185573.18955
32,1554185573.07448,1554185573.18984,1554185573.22143
32,1554185573.11054,1554185573.2217,1554185573.26111
32,1554185573.14644,1554185573.26139,1554185573.29698
32,1554185573.18248,1554185573.29719,1554185573.33283
32,1554185573.21822,1554185573.33314,1554185573.36873
32,1554185573.25408,1554185573.36901,1554185573.40455
32,1554185573.28991,1554185573.40488,1554185573.44079
32,1554185573.32582,1554185573.44108,1554185573.47677
32,1554185573.36157,1554185573.47698,1554185573.51261
32,1554185573.39782,1554185573.51292,1554185573.54853
32,1554185573.43371,1554185573.54878,1554185573.58466
32,1554185573.46974,1554185573.585,1554185573.61656
32,1554185573.50554,1554185573.6168,1554185573.64847
32,1554185573.54166,1554185573.64867,1554185573.69233
32,1554185573.57764,1554185573.69259,1554185573.72829
32,1554185573.61349,1554185573.72863,1554185573.76387
32,1554185573.6494,1554185573.76414,1554185573.80415
32,1554185573.68537,1554185573.80443,1554185573.83615
32,1554185573.72114,1554185573.83645,1554185573.87631
32,1554185573.76109,1554185573.87664,1554185573.91233
32,1554185573.79719,1554185573.91259,1554185573.94812
32,1554185573.83329,1554185573.94843,1554185573.98395
32,1554185573.86937,1554185573.98421,1554185574.01979
32,1554185573.90525,1554185574.02008,1554185574.0562
32,1554185573.94104,1554185574.05649,1554185574.09192
32,1554185573.97684,1554185574.09222,1554185574.12785
32,1554185574.01293,1554185574.12817,1554185574.16385
32,1554185574.04893,1554185574.16417,1554185574.19978
32,1554185574.08479,1554185574.20007,1554185574.23564
32,1554185574.12096,1554185574.23595,1554185574.27153
32,1554185574.15676,1554185574.27183,1554185574.30724
32,1554185574.1927,1554185574.30751,1554185574.3391
32,1554185574.22864,1554185574.33941,1554185574.38082
32,1554185574.26446,1554185574.38113,1554185574.41643
32,1554185574.30057,1554185574.41663,1554185574.45218
32,1554185574.33793,1554185574.45252,1554185574.48809
32,1554185574.37366,1554185574.48839,1554185574.52387
32,1554185574.40947,1554185574.52413,1554185574.62144
32,1554185574.44514,1554185574.62172,1554185574.65513
32,1554185574.48085,1554185574.65531,1554185574.68698
