0,32,1555357245.507895,1555357245.5410898
1,32,1555357245.5724914,1555357245.6040833
2,32,1555357245.636391,1555357245.6679018
3,32,1555357245.699358,1555357245.7307348
4,32,1555357245.7622666,1555357245.7937624
5,32,1555357245.8251467,1555357245.8565786
6,32,1555357245.8877099,1555357245.9192135
7,32,1555357245.950832,1555357245.9824188
8,32,1555357246.0138452,1555357246.04562
9,32,1555357246.0772777,1555357246.1089616
10,32,1555357246.140464,1555357246.404847
11,32,1555357246.4361753,1555357246.4675643
12,32,1555357246.4988182,1555357246.530238
13,32,1555357246.5615902,1555357246.5938668
14,32,1555357246.6252003,1555357246.6566331
15,32,1555357246.6881828,1555357246.719607
16,32,1555357246.751013,1555357246.782502
17,32,1555357246.813677,1555357247.0807269
18,32,1555357247.1122222,1555357247.1437776
19,32,1555357247.175236,1555357247.2066867
20,32,1555357247.2380896,1555357247.2695463
21,32,1555357247.301121,1555357247.332663
22,32,1555357247.3641126,1555357247.396018
23,32,1555357247.4275653,1555357247.4592452
24,32,1555357247.490919,1555357247.5227213
25,32,1555357247.554164,1555357247.585934
26,32,1555357247.6174488,1555357247.6492457
27,32,1555357247.6808748,1555357247.7122445
28,32,1555357247.7437003,1555357247.7751598
29,32,1555357247.8064425,1555357247.838234
30,32,1555357247.8695292,1555357247.9010792
31,32,1555357247.9326873,1555357247.9643323
32,32,1555357248.229109,1555357248.260755
33,32,1555357248.2921877,1555357248.3238425
34,32,1555357248.3553355,1555357248.3868809
35,32,1555357248.418305,1555357248.449871
36,32,1555357248.4811726,1555357248.5125785
37,32,1555357248.544048,1555357248.575762
38,32,1555357248.6071217,1555357248.6388688
39,32,1555357248.670306,1555357248.7018173
40,32,1555357248.7334275,1555357248.7651997
41,32,1555357248.7966897,1555357248.8283157
42,32,1555357248.8597383,1555357248.89129
43,32,1555357248.9226956,1555357248.9545188
44,32,1555357249.2237194,1555357249.4888155
45,32,1555357249.5202637,1555357249.551849
46,32,1555357249.5832736,1555357249.6147175
47,32,1555357249.646041,1555357249.6776183
48,32,1555357249.709204,1555357249.7409904
49,32,1555357249.772481,1555357249.8041317
