1,1.04,0.955
2,1.89,1.80
5,4.33,4.17
10,9.73,9.30
20,18.1,17.8
50,24.7,24.2
100,38.4,37.9
150,32.4,34.9
180,35.4,34.8
200,38.6,38.0
220,35.2,34.6
240,35.3,34.5
260,35.0,34.3
280,34.2,33.5
